iter	Passed	Remaining
0	6	6068
1	6	3452
2	7	2489
3	8	2003
4	8	1711
5	9	1520
6	9	1377
7	10	1275
8	10	1195
9	11	1140
10	12	1096
11	12	1056
12	13	1021
13	14	988
14	14	960
15	15	934
16	15	912
17	16	893
18	16	875
19	17	859
20	18	849
21	18	843
22	19	833
23	20	822
24	20	811
25	21	800
26	21	788
27	22	779
28	22	769
29	23	761
30	24	753
31	24	745
32	25	761
33	26	755
34	27	748
35	27	742
36	28	736
37	28	730
38	29	724
39	29	719
40	30	713
41	31	710
42	31	705
43	32	701
44	32	698
45	33	704
46	34	699
47	35	696
48	35	694
49	36	691
50	36	687
51	37	684
52	38	680
53	38	676
54	39	672
55	39	672
56	40	672
57	41	670
58	41	667
59	42	665
60	43	663
61	43	661
62	44	658
63	44	657
64	45	655
65	46	653
66	46	651
67	47	649
68	47	646
69	48	644
70	49	642
71	49	640
72	50	639
73	50	637
74	51	635
75	52	633
76	52	631
77	53	629
78	53	628
79	54	627
80	55	625
81	55	624
82	56	619
83	56	617
84	57	616
85	57	614
86	58	612
87	59	611
88	59	610
89	60	609
90	60	609
91	62	613
92	62	611
93	63	610
94	63	608
95	64	607
96	65	606
97	65	605
98	66	603
99	66	601
100	67	600
101	68	598
102	68	598
103	69	597
104	70	597
105	70	595
106	71	594
107	72	595
108	72	595
109	73	594
110	74	593
111	74	592
112	75	590
113	75	589
114	76	589
115	77	587
116	77	586
117	78	585
118	79	584
119	79	583
120	80	582
121	80	580
122	81	579
123	81	577
124	82	576
125	82	574
126	83	573
127	84	572
128	84	571
129	85	571
130	85	570
131	86	569
132	87	568
133	87	567
134	88	567
135	89	566
136	89	565
137	90	565
138	91	563
139	91	563
140	92	562
141	92	560
142	93	560
143	94	560
144	94	559
145	95	559
146	96	559
147	97	558
148	97	558
149	98	557
150	99	556
151	99	556
152	100	555
153	100	554
154	101	553
155	102	552
156	102	551
157	103	550
158	104	550
159	104	549
160	105	548
161	106	548
162	106	547
163	107	546
164	107	545
165	108	545
166	109	544
167	109	544
168	110	543
169	111	542
170	111	541
171	112	540
172	113	540
173	113	540
174	114	539
175	115	538
176	115	537
177	116	536
178	116	535
179	117	535
180	118	535
181	118	534
182	119	533
183	120	533
184	120	532
185	121	531
186	122	531
187	122	530
188	123	529
189	123	528
190	124	527
191	125	526
192	125	525
193	126	524
194	126	523
195	127	523
196	128	522
197	128	521
198	129	521
199	130	520
200	130	519
201	131	519
202	132	518
203	132	517
204	133	516
205	133	515
206	134	514
207	135	514
208	135	514
209	136	513
210	137	512
211	137	511
212	138	511
213	138	510
214	139	509
215	140	508
216	140	507
217	141	507
218	141	506
219	142	505
220	143	504
221	143	503
222	144	502
223	144	501
224	145	500
225	145	499
226	146	498
227	146	497
228	147	496
229	148	496
230	148	495
231	149	494
232	150	493
233	150	493
234	151	492
235	152	492
236	152	491
237	153	491
238	153	490
239	154	489
240	155	489
241	155	488
242	156	487
243	157	486
244	157	486
245	158	485
246	159	484
247	159	483
248	160	483
249	160	482
250	161	481
251	161	480
252	162	479
253	162	478
254	163	477
255	164	476
256	164	476
257	165	475
258	165	474
259	166	473
260	167	472
261	167	471
262	168	470
263	169	472
264	170	472
265	170	471
266	171	471
267	172	470
268	172	470
269	173	469
270	174	468
271	174	467
272	175	466
273	175	465
274	176	464
275	176	463
276	177	462
277	178	462
278	178	461
279	179	460
280	179	460
281	180	459
282	180	458
283	181	457
284	181	456
285	182	455
286	183	454
287	183	454
288	184	453
289	185	453
290	185	452
291	186	451
292	186	451
293	187	450
294	188	450
295	189	449
296	189	449
297	190	448
298	191	447
299	191	447
300	192	446
301	192	445
302	193	445
303	194	444
304	194	443
305	195	443
306	196	442
307	196	441
308	197	440
309	197	440
310	198	439
311	199	438
312	199	438
313	200	437
314	201	437
315	201	436
316	202	436
317	203	435
318	203	434
319	204	433
320	204	433
321	205	432
322	205	431
323	206	430
324	207	430
325	207	429
326	208	428
327	208	427
328	209	427
329	209	426
330	210	425
331	210	424
332	211	423
333	212	422
334	212	421
335	213	421
336	213	420
337	214	419
338	214	419
339	215	418
340	216	417
341	216	416
342	217	415
343	217	415
344	218	414
345	218	413
346	219	412
347	219	411
348	220	410
349	220	410
350	221	409
351	222	408
352	222	408
353	223	407
354	223	406
355	224	405
356	224	404
357	225	404
358	225	403
359	226	402
360	226	401
361	227	400
362	228	400
363	228	399
364	229	399
365	230	398
366	230	397
367	231	396
368	231	396
369	232	395
370	232	394
371	233	393
372	233	392
373	234	392
374	234	391
375	235	390
376	235	389
377	236	389
378	237	388
379	237	387
380	238	387
381	238	386
382	239	385
383	240	385
384	240	384
385	241	383
386	241	383
387	242	382
388	243	381
389	243	381
390	244	380
391	245	380
392	245	379
393	246	378
394	246	377
395	247	377
396	247	376
397	248	375
398	248	374
399	249	373
400	250	373
401	250	373
402	251	372
403	251	371
404	252	370
405	252	370
406	253	369
407	254	368
408	254	367
409	255	366
410	255	366
411	256	365
412	256	364
413	257	364
414	257	363
415	258	362
416	258	361
417	259	361
418	259	360
419	260	359
420	260	358
421	261	358
422	262	357
423	262	356
424	263	355
425	263	355
426	264	354
427	264	354
428	265	353
429	265	352
430	266	351
431	267	351
432	267	350
433	268	349
434	268	348
435	269	348
436	269	347
437	270	346
438	270	345
439	271	345
440	272	344
441	272	344
442	273	343
443	273	342
444	274	341
445	274	341
446	275	340
447	275	339
448	276	339
449	276	338
450	277	337
451	277	336
452	278	336
453	279	335
454	279	335
455	280	334
456	281	333
457	281	333
458	282	332
459	282	332
460	283	331
461	283	330
462	284	329
463	284	329
464	285	328
465	286	327
466	286	327
467	287	326
468	287	325
469	288	325
470	288	324
471	289	323
472	289	323
473	290	322
474	291	321
475	291	321
476	292	320
477	293	320
478	294	319
479	294	319
480	295	319
481	296	318
482	297	318
483	297	317
484	298	316
485	299	316
486	299	315
487	300	315
488	301	314
489	301	314
490	302	313
491	302	312
492	303	312
493	304	311
494	304	310
495	305	310
496	305	309
497	306	308
498	306	307
499	307	307
500	307	306
501	308	306
502	309	305
503	309	304
504	310	304
505	310	303
506	311	302
507	312	302
508	312	301
509	313	300
510	313	300
511	314	299
512	314	298
513	315	298
514	315	297
515	316	296
516	316	296
517	317	295
518	318	294
519	318	294
520	319	293
521	319	292
522	320	292
523	320	291
524	321	290
525	322	290
526	322	289
527	323	289
528	324	288
529	324	287
530	325	287
531	325	286
532	326	285
533	326	285
534	327	284
535	327	283
536	328	283
537	328	282
538	329	281
539	329	281
540	330	280
541	331	279
542	331	279
543	332	278
544	332	277
545	333	277
546	333	276
547	334	275
548	334	275
549	335	274
550	336	273
